"crack_rot [deg]","Freq [GHz]","dB(S(2,1)) []"
60,1.458,-87.8359008606408
60,1.464,-89.0972709361271
60,1.47,-90.455400060171
60,1.476,-91.8415327473915
60,1.482,-93.203243747558
60,1.488,-94.4999653227886
60,1.494,-95.6983468779667
60,1.5,-96.7701345328699
60,1.506,-97.6929968474883
60,1.512,-98.4532879413021
60,1.518,-99.0487454714865
60,1.524,-99.4890718082865
60,1.53,-99.7936064961681
60,1.536,-99.9870433347878
60,1.542,-100.095000054233
60,1.548,-100.140807263667
60,1.554,-100.143897723293
60,1.56,-100.119468584349
60,1.566,-100.078878578322
60,1.572,-100.030338657424
60,1.578,-99.979631680452
60,1.584,-99.9307400447057
60,1.59,-99.8863458516412
60,1.596,-99.848209324457
60,1.602,-99.8174461919243
60,1.608,-99.7947270099636
60,1.614,-99.7804185611705
60,1.62,-99.7746832887932
60,1.626,-99.777548748831
60,1.632,-99.7889558082608
60,1.638,-99.8087918310997
60,1.644,-99.8369132665631
60,1.65,-99.8731607390562
60,1.656,-99.9173688051373
60,1.662,-99.9693718815455
60,1.668,-100.029007380967
60,1.674,-100.096116760381
60,1.68,-100.170544949234
60,1.686,-100.252138452245
60,1.692,-100.340742293838
60,1.698,-100.436195873952
60,1.704,-100.538327728275
60,1.71,-100.646949123375
60,1.716,-100.761846364362
60,1.722,-100.882771647689
60,1.728,-101.009432254172
60,1.734,-101.141477849377
60,1.74,-101.278485644639
60,1.746,-101.419943179894
60,1.752,-101.565228531216
60,1.758,-101.713587838235
60,1.764,-101.864110212586
60,1.77,-102.015700356952
60,1.776,-102.167049629024
60,1.782,-102.316606859581
60,1.788,-102.462551003985
60,1.794,-102.602768670873
60,1.8,-102.73484067881
60,1.806,-102.856042904608
60,1.812,-102.963367550607
60,1.818,-103.053571180658
60,1.824,-103.123254955742
60,1.83,-103.168979941222
60,1.836,-103.18741587388
60,1.842,-103.175515585217
60,1.848,-103.130700347081
60,1.854,-103.051035477276
60,1.86,-102.935372740291
60,1.866,-102.783438108303
60,1.872,-102.595850692066
60,1.878,-102.374069676639
60,1.884,-102.120277996968
60,1.89,-101.83722100121
60,1.896,-101.528023171488
60,1.902,-101.196005548675
60,1.908,-100.844521953583
60,1.914,-100.476825434609
60,1.92,-100.095969620422
60,1.926,-99.7047442087977
60,1.932,-99.305640267963
60,1.938,-98.9008393051571
60,1.944,-98.4922197489846
60,1.95,-98.0813750778196
60,1.956,-97.6696388498735
60,1.962,-97.2581130249565
60,1.968,-96.847697018621
60,1.974,-96.4391158046197
60,1.98,-96.0329460577686
60,1.986,-95.6296398205839
