"d [mm]","Freq [GHz]","dB(S(1,1)) []"
2,2.178,-6.3828526354981
2,2.184,-6.56091554405407
2,2.19,-6.74113203497209
2,2.196,-6.92121548738277
2,2.202,-7.0982125458504
2,2.208,-7.26849040390127
2,2.214,-7.42781053954598
2,2.22,-7.57152239176672
2,2.226,-7.69489679225108
2,2.232,-7.79358774417083
2,2.238,-7.86416519294956
2,2.244,-7.90461523448629
2,2.25,-7.91468163668997
2,2.256,-7.89594438113869
2,2.262,-7.85159790835916
2,2.268,-7.78597808364647
2,2.274,-7.70395384872713
2,2.28,-7.61032009358223
2,2.286,-7.50930231697629
2,2.292,-7.40423250367427
2,2.298,-7.29740490659759
2,2.304,-7.19008602694291
2,2.31,-7.08263818503851
2,2.316,-6.97471552653155
2,2.322,-6.86549768302905
2,2.328,-6.75393377250935
2,2.334,-6.63897505630883
2,2.34,-6.51977803233992
2,2.346,-6.39586231116256
2,2.352,-6.26721103589037
2,2.358,-6.13430706826497
2,2.364,-5.9981056739059
2,2.37,-5.8599527284454
2,2.376,-5.72146452718092
2,2.382,-5.58438926959115
2,2.388,-5.4504703154111
2,2.394,-5.32132773229777
2,2.4,-5.19836881442051
2,2.406,-4.95540031720129
2,2.412,-4.70024567503314
2,2.418,-4.43232286919509
2,2.424,-4.15128495378956
2,2.43,-3.85702276593997
2,2.436,-3.5496642769011
2,2.442,-3.22957055935812
2,2.448,-2.8973286646932
2,2.454,-2.55374196565922
2,2.46,-2.19981869152846
2,2.466,-1.83675944433769
2,2.472,-1.46594443145266
2,2.478,-1.08892099092484
2,2.484,-0.707391743398128
2,2.49,-0.323203407305193
2,2.496,0.061664002456305
2,2.502,0.445108170514829
2,2.508,0.824916490270837
2,2.514,1.19878004652793
2,2.52,1.56431053337483
2,2.526,1.91906089398028
2,2.532,2.26055009050826
2,2.538,2.5862918257807
2,2.544,2.89382627274453
2,2.55,3.18075299724039
2,2.556,3.44476240648651
2,2.562,3.68366238168348
2,2.568,3.8953964335201
2,2.574,4.07804990414383
2,2.58,4.2298415099967
2,2.586,4.3490988573675
2,2.592,4.43421833724424
2,2.598,4.48361179935021
2,2.604,4.49564435133943
2,2.61,4.46856926119913
2,2.616,4.40046702054888
2,2.622,4.28919594592805
2,2.628,4.13236105937812
2,2.634,3.92730620483447
2,2.64,3.67113126028912
2,2.646,3.36073186554479
2,2.652,2.9928535705159
2,2.658,2.56414648678143
2,2.664,2.07120181671182
2,2.67,1.51055019236383
2,2.676,0.878606578974108
2,2.682,0.17156199218289
2,2.688,-0.614743909622955
2,2.694,-1.48486786268987
2,2.7,-2.44349132558157
2,2.706,-3.49433665745896
2,2.712,-4.63727929663217
2,2.718,-5.86182785716618
2,2.724,-7.13425493810957
2,2.73,-8.37703045397277
2,2.736,-9.45057176140158
2,2.742,-10.1752510943096
2,2.748,-10.4310873284599
2,2.754,-10.2581962933677
2,2.76,-9.8197650007778
2,2.766,-9.28258391885638
2,2.772,-8.75469103485888
2,2.778,-8.28965592195948
2,2.784,-7.9095630859037
2,2.79,-7.62340575546576
2,2.796,-7.4384165881388
2,2.802,-7.3671927504397
2,2.808,-7.43314332098149
2,2.814,-7.67489991652333
2,2.82,-8.14463575460201
2,2.826,-8.8691551497127
2,2.832,-9.62585072280137
2,2.838,-9.26489628136871
2,2.844,-6.4048715207706
2,2.85,-2.30824663972362
2,2.856,1.2551999263521
2,2.862,3.35680693885241
2,2.868,3.95167844043783
2,2.874,3.72129901703169
2,2.88,3.23483794758689
2,2.886,2.73419327767917
2,2.892,2.29299537926315
2,2.898,1.92509262591602
2,2.904,1.62616933655238
2,2.91,1.38767684256635
2,2.916,1.20126982749448
2,2.922,1.06008937809591
2,2.928,0.959000550899415
2,2.934,0.894442386437763
2,2.94,0.863895304539286
2,2.946,0.864099990492216
2,2.952,0.884786959235662
2,2.958,0.898771313086161
2,2.964,0.938604622054231
2,2.97,1.13891781216361
2,2.976,1.45938036842684
2,2.982,1.84170574065643
2,2.988,2.10460775509996
2,2.994,1.29123674721647
2,3,-2.37337236005889
2,3.006,1.25935720912783
2,3.012,2.45395475570196
2,3.018,2.02619339923879
2,3.024,1.35773117272234
2,3.03,0.837125534855962
2,3.036,0.50456062545214
2,3.042,0.348367923895821
2,3.048,0.369110805453113
2,3.054,0.602758547066572
2,3.06,1.18917334630959
2,3.066,2.85366870872015
2,3.072,14.2763234517086
2,3.078,3.32449363214199
2,3.084,2.54114659969849
2,3.09,1.41589623856631
2,3.096,1.34668226999474
2,3.102,1.39937066156571
2,3.108,2.62028023886837
2,3.114,-2.95573425032082
2,3.12,1.79971671737897
2,3.126,3.78106199316422
2,3.132,-5.83964131863224
2,3.138,-2.11897894334765
2,3.144,-3.15460959578598
2,3.15,0.0584105168168524
2,3.156,0.0107661428975869
2,3.162,-0.0659265063698581
2,3.168,-0.642705112486922
2,3.174,0.511722279335683
2,3.18,1.34652003650458
2,3.186,12.5982322439809
2,3.192,-10.5759953515506
2,3.198,-11.7440940183368
2,3.204,-4.76079454790978
2,3.21,-0.721851271349626
2,3.216,-0.626992361265374
2,3.222,-1.94589748893384
2,3.228,-2.65512463675743
2,3.234,-2.66736976090498
2,3.24,-2.68031323732927
2,3.246,-2.69400910267453
2,3.252,-2.70856280221374
2,3.258,-2.7241984956044
2,3.264,-2.74146903336635
2,3.27,-2.76215384773413
2,3.276,-2.79661313458409
2,3.282,-2.62643725244995
2,3.288,-2.77096287103243
2,3.294,-2.79932349964254
2,3.3,-2.82116773349499
2,3.306,-2.83622728472669
2,3.312,-2.85182162602752
2,3.318,-2.86795759708677
2,3.324,-2.88464352780381
2,3.33,-2.90188941064324
2,3.336,-2.9197070907878
2,3.342,-2.93811047566326
2,3.348,-2.95711576541206
2,3.354,-2.97674170583618
2,3.36,-2.99700986519026
2,3.366,-3.01794493595009
2,3.372,-3.03957506226892
2,3.378,-3.06193219320953
2,3.384,-3.0850524609354
2,3.39,-3.10897658177348
2,3.396,-3.13375027631566
2,3.402,-3.15942470237481
2,3.408,-3.18605689149563
2,3.414,-3.2137101756535
2,3.42,-3.24245458554607
2,3.426,-3.27236719525992
2,3.432,-3.30353237984755
2,3.438,-3.33604194226657
2,3.444,-3.36999505407767
2,3.45,-3.40549794027035
2,3.456,-3.44266322283484
2,3.462,-3.48160882086124
2,3.468,-3.52245628823674
2,3.474,-3.56532845545731
2,3.48,-3.61034623276268
2,3.486,-3.65762443214337
2,3.492,-3.70726648159532
2,3.498,-3.75935794349924
2,3.504,-3.81395881819221
2,3.51,-3.87109472134839
2,3.516,-3.930747174971
2,3.522,-3.99284344647987
2,3.528,-4.05724659917117
2,3.534,-4.12374665767701
2,3.54,-4.19205400556384
2,3.546,-4.26179626526637
2,3.552,-4.33251990047706
2,3.558,-4.4036975693432
2,3.564,-4.47474180845892
2,3.57,-4.5450249530757
2,3.576,-4.61390436980422
2,3.582,-4.6807512277828
2,3.588,-4.74498033655715
2,3.594,-4.80607820497954
2,3.6,-4.86362654155286
4,1.2,-0.404577684531568
4,1.206,-0.407756662382095
4,1.212,-0.410957349355898
4,1.218,-0.414179546456857
4,1.224,-0.417423064739894
4,1.23,-0.420687725297393
4,1.236,-0.423973359254651
4,1.242,-0.427279807774279
4,1.248,-0.430606922069624
4,1.254,-0.433954563427176
4,1.26,-0.437322603238022
4,1.266,-0.440710923038388
4,1.272,-0.444119414559331
4,1.278,-0.447547979785639
4,1.284,-0.450996531024087
4,1.29,-0.454464990981101
4,1.296,-0.457953292849989
4,1.302,-0.461461380407868
4,1.308,-0.464989208122476
